Origen,fecha,municipio,recinto,comunidad,nota,comentario,estatus,veracidad
"A","2016-05-14 12:27:06","LUPERON","AYUNTAMIENTO MUNICIPAL, CALLE DUARTE ESQ. SAN JOSE, ALTAMIRA",\N,"El 12 de mayo un un enfrentamiento entre simpatizantes y militantes del Partido de la Liberación Dominicana –PLD- y del Revolucionario Moderno –PRM- dejó tres heridos de disparos y golpes. El hecho ocurrió en el sector Belloso, del municipio Luperó en Puerto Plata. Los afectados son Ezequiel Brito, de 56, quien presenta heridas en el muslo derecho, de arma de fuego, mientras que Kendy Peña, de 18, fue impactado de bala en el flanco izquierdo, y Arami Ventura, de 64, presenta golpes.","El 12 de mayo un unfrentamiento entre simpatizantes y militantes del Partido de la Liberación Dominicana –PLD- y del Revolucionario Moderno –PRM- dejó tres heridos de disparos y golpes. El hecho ocurrió en el sector Belloso, del municipio Luperó en Puerto Plata. Los afectados son Ezequiel Brito, de 56, quien presenta heridas en el muslo derecho, de arma de fuego con entrada y salida, mientras que Kendy Peña, de 18, fue impactado de bala en el flanco izquierdo, y Arami Ventura, de 64, presenta go","A","V"
"A","2016-05-14 12:29:00","BARAHONA","CENTRO DE ORATORIA MARIA AUXILIADORA, CALLE TOMAS SUERO # 24, BARRIO ENRIQUILLO, BARAHONA",\N,"Casa de candidato del PRM en Paraíso en busca de armas","En Paraiso, Barahona, Allanan casa de candidato del PRM en Paraíso en busca de armas. Francisco Acosta, denunció que su centro de cómputos fue objeto de un allanamiento el viernes 13 de una forma violenta por parte de agentes del DICRIM, de la Policía Nacional, en busca de armas de fuego. “Los agentes del orden llegaron en tres vehículos portando todo tipo de armas de fuego con fines de amedrantar la voluntad popular de las grandes masas de esta población, lo que no conseguirán”, afirmó.","A","V"
"A","2016-05-14 15:20:53","AZUA",\N,\N,"Atentando de asesinato Victor Sánchez, candidato a Senador PRM de Azua.","Atentando de asesinato Victor Sánchez, candidato a Senador PRM de Azua.","A","V"
"A","2016-05-14 16:34:12","GASPAR HERNANDEZ",\N,\N,"","","A","P"
"A","2016-05-14 16:34:26","SANTO DOMINGO OESTE",\N,\N,"","Vivo en new Jersey  me llamo henry caceres","A","P"
"A","2016-05-14 16:36:14","SANTO DOMINGO OESTE",\N,\N,"","","A","P"
"A","2016-05-14 16:36:57","SANTO DOMINGO NORTE",\N,\N,"","","A","P"
"A","2016-05-14 16:37:59","SAN JUAN DE LA MAGUANA",\N,\N,"","","A","P"
"A","2016-05-14 16:39:56","SAN JUAN DE LA MAGUANA",\N,\N,"rechazado -denuncia repetitiva","","A","P"
"A","2016-05-14 16:48:54","SANTO DOMINGO OESTE",\N,\N,"amanda trabajando","Se estan dando dinero desde ahora casa por casa para votar por el PLD.","A","P"
"A","2016-05-14 17:04:46","SAN CRISTOBAL","ESCUELA BASICA INGENIO NUEVO, PARAJE INGENIO NUEVO SECCION INGENIO NUEVO, INGENIO NUEVO (EL CENTRO)",\N,"amanda trabajando","Me informa la joven que nos ayuda en el la limpieza de la casa que ayer viernes 13/5 acudió un grupo de personas casa por casa, en su barrio, ofreciendo 500 pesos por cada cédula, vestidos de color morado. Que ella se enterara, alrededor de 7 personas del mismo sector vendieron sus cédulas.","A","P"
